# English|Malayalam|German|French|Italian|Spanish|Filipino
Abel|ഹാബെൽ|Abel|Abel|Abele|Abel|Abel
Absalom|അബ്ശാലോം|Absalom|Absalom|Assalonne|Absalón|Absalom
Adam|ആദാം|Adam|Adam|Adamo|Adán|Adan
Ararat|അരാരാത്ത്|Ararat|Ararat|Ararat|Ararat|Ararat
Barabbas|ബറബ്ബാസ്|Barabbas|Barabbas|Barabba|Barrabás|Barabas
Barnabas|ബർന്നബാസ്|Barnabas|Barnabas|Barnaba|Bernabé|Bernabe
Bethesda|ബേഥെസ്ദാ|Betesda|Béthesda|Betesda|Betesda|Betesda
Blood|രക്തം|Blut|Sang|Sangue|Sangre|Dugo
Boat|പടക്|Boot|Bateau|Barca|Barca|Bangka
Boaz|ബോവസ്|Boas|Boaz|Booz|Booz|Boaz
Calf|കാളക്കുട്ടി|Kalb|Veau|Vitello|Becerro|Guya
Camel|ഒട്ടകം|Kamel|Chameau|Cammello|Camello|Kamelyo
Cana|കാനാ|Kana|Cana|Cana|Caná|Cana
Carmel|കർമ്മേൽ|Karmel|Carmel|Carmelo|Carmelo|Carmelo
Chariot|രഥം|Wagen|Char|Carro|Carro|Karwahe
Cornelius|കൊർന്നേല്യൊസ്|Kornelius|Corneille|Cornelio|Cornelio|Cornelio
Crete|ക്രേത്ത|Kreta|Crète|Creta|Creta|Creta
Cyprus|കുപ്രൊസ്|Zypern|Chypre|Cipro|Chipre|Chipre
Damascus|ദമ്മേശെക്ക്|Damaskus|Damas|Damasco|Damasco|Damasco
Dates|ഈന്തപ്പഴങ്ങൾ|Datteln|Dattes|Datteri|Dátiles|Mga datiles
Deborah|ദെബോരാ|Debora|Débora|Debora|Débora|Debora
Donkey|കഴുത|Esel|Âne|Asino|Asno|Asno
Dorcas|തബീഥാ|Dorkas|Dorcas|Dorcas|Dorcas|Dorcas
Dove|പ്രാവ്|Taube|Colombe|Colomba|Paloma|Kalapati
Doves|പ്രാവുകൾ|Tauben|Colombes|Colombe|Palomas|Mga kalapati
Eagle|കഴുകൻ|Adler|Aigle|Aquila|Águila|Agila
Eagles|കഴുകന്മാർ|Adler|Aigles|Aquile|Águilas|Mga agila
Eli|ഏലി|Eli|Éli|Eli|Elí|Eli
Elim|ഏലീം|Elim|Élim|Elim|Elim|Elim
Elisha|എലീശാ|Elisa|Élisée|Eliseo|Eliseo|Eliseo
Emmaus|എമ്മാവുസ്|Emmaus|Emmaüs|Emmaus|Emaús|Emaus
Enoch|ഹാനോക്ക്|Henoch|Hénoc|Enoc|Enoc|Enoc
Esau|ഏശാവ്|Esau|Ésaü|Esaù|Esaú|Esau
Esther|എസ്ഥേർ|Ester|Esther|Ester|Ester|Ester
Euphrates|ഫ്രാത്ത്|Euphrat|Euphrate|Eufrate|Éufrates|Eufrates
Eutychus|യൂത്തിക്കൊസ്|Eutychus|Eutychus|Eutico|Eutico|Eutico
Eve|ഹവ്വാ|Eva|Ève|Eva|Eva|Eva
Ezra|എസ്രാ|Esra|Esdras|Esdra|Esdras|Esdras
Fig leaf|അത്തിയില|Feigenblatt|Feuille de figuier|Foglia di fico|Hoja de higuera|Dahon ng igos
Figs|അത്തിപ്പഴങ്ങൾ|Feigen|Figues|Fichi|Higos|Mga igos
Gabriel|ഗബ്രിയേൽ|Gabriel|Gabriel|Gabriele|Gabriel|Gabriel
Gethsemane|ഗെത്ത്‌ശെമന|Gethsemane|Gethsémané|Getsemani|Getsemaní|Getsemani
Gideon|ഗിദെയോൻ|Gideon|Gédéon|Gedeone|Gedeón|Gideon
Goliath|ഗൊല്യാത്ത്|Goliat|Goliath|Golia|Goliat|Goliat
Grape vine|മുന്തിരിവള്ളി|Weinrebe|Vigne|Vite|Vid|Puno ng ubas
Hannah|ഹന്നാ|Hanna|Anne|Anna|Ana|Ana
Horse|കുതിര|Pferd|Cheval|Cavallo|Caballo|Kabayo
Isaiah|യെശയ്യാവു|Jesaja|Ésaïe|Isaia|Isaías|Isaias
Israel|യിസ്രായേൽ|Israel|Israël|Israele|Israel|Israel
Jeremiah|യിരെമ്യാവു|Jeremia|Jérémie|Geremia|Jeremías|Jeremias
Jesse|യിശ്ശായി|Isai|Isaï|Isai|Isaí|Isai
Jochebed|യോഖേബെദ്|Jochebed|Jokébed|Iochebed|Jocabed|Jocabed
Jonathan|യോനാഥാൻ|Jonatan|Jonathan|Gionatan|Jonatán|Jonatan
Jordan|യോർദ്ദാൻ|Jordan|Jourdain|Giordano|Jordán|Jordan
Joseph of Arimathea|അരിമത്യക്കാരനായ യോസേഫ്|Josef von Arimathäa|Joseph d’Arimathée|Giuseppe d’Arimatea|José de Arimatea|Jose ng Arimatea
Josiah|യോശീയാവ്|Josia|Josias|Giosia|Josías|Josias
