# id|reference|correct answer;three distractors|en|ml|de|fr|it|es|fil
adam-first|Genesis 2:7|Adam;Noah;Abraham;Moses|Who did God form from the dust of the ground?|ദൈവം നിലത്തിലെ പൊടിയിൽനിന്ന് ആരെ ഉണ്ടാക്കി?|Wen formte Gott aus dem Staub der Erde?|Qui Dieu a-t-il formé de la poussière du sol ?|Chi formò Dio dalla polvere della terra?|¿A quién formó Dios del polvo de la tierra?|Sino ang hinubog ng Diyos mula sa alabok ng lupa?
eve-name|Genesis 3:20|Eve;Sarah;Rebekah;Rachel|What name did Adam give his wife?|ആദാം തന്റെ ഭാര്യയ്ക്ക് എന്തു പേരിട്ടു?|Welchen Namen gab Adam seiner Frau?|Quel nom Adam a-t-il donné à sa femme ?|Quale nome diede Adamo a sua moglie?|¿Qué nombre dio Adán a su esposa?|Anong pangalan ang ibinigay ni Adan sa kanyang asawa?
cain-brother|Genesis 4:8|Abel;Seth;Enoch;Isaac|Which brother did Cain kill?|കയീൻ ഏതു സഹോദരനെയാണ് കൊന്നത്?|Welchen Bruder tötete Kain?|Quel frère Caïn a-t-il tué ?|Quale fratello uccise Caino?|¿A qué hermano mató Caín?|Sinong kapatid ang pinatay ni Cain?
seth-birth|Genesis 4:25|Seth;Noah;Jacob;Joseph|Which son did Eve name after Abel's death?|ഹാബെലിന്റെ മരണശേഷം ഹവ്വാ തന്റെ മകന് എന്തു പേരിട്ടു?|Wie nannte Eva ihren Sohn nach Abels Tod?|Comment Ève a-t-elle nommé son fils après la mort d’Abel ?|Come chiamò Eva suo figlio dopo la morte di Abele?|¿Cómo llamó Eva a su hijo después de la muerte de Abel?|Ano ang ipinangalan ni Eva sa kanyang anak matapos mamatay si Abel?
enoch-son|Genesis 5:21|Methuselah;Lamech;Noah;Terah|Who was Enoch's son named in Genesis 5:21?|ഉല്പത്തി 5:21-ൽ പറയുന്ന ഹാനോക്കിന്റെ മകൻ ആര്?|Welcher Sohn Henochs wird in 1. Mose 5,21 genannt?|Quel fils d’Hénoc est nommé en Genèse 5:21 ?|Quale figlio di Enoc è nominato in Genesi 5:21?|¿Qué hijo de Enoc se menciona en Génesis 5:21?|Sinong anak ni Enoc ang binanggit sa Genesis 5:21?
noah-father|Genesis 5:28-29|Lamech;Terah;Isaac;Aaron|Who was Noah's father?|നോഹയുടെ പിതാവ് ആര്?|Wer war Noahs Vater?|Qui était le père de Noé ?|Chi era il padre di Noè?|¿Quién fue el padre de Noé?|Sino ang ama ni Noe?
noah-sons|Genesis 6:10|3;2;7;12|How many sons of Noah are named in Genesis 6:10?|ഉല്പത്തി 6:10-ൽ നോഹയുടെ എത്ര പുത്രന്മാരെ പറയുന്നു?|Wie viele Söhne Noahs nennt 1. Mose 6,10?|Combien de fils de Noé sont nommés en Genèse 6:10 ?|Quanti figli di Noè sono nominati in Genesi 6:10?|¿Cuántos hijos de Noé se nombran en Génesis 6:10?|Ilang anak na lalaki ni Noe ang pinangalanan sa Genesis 6:10?
flood-rain-days|Genesis 7:12|40;7;12;30|For how many days and nights did rain fall during the flood?|പ്രളയത്തിൽ എത്ര രാവും പകലും മഴ പെയ്തു?|Wie viele Tage und Nächte regnete es während der Flut?|Pendant combien de jours et de nuits la pluie est-elle tombée lors du déluge ?|Per quanti giorni e notti piovve durante il diluvio?|¿Durante cuántos días y noches llovió en el diluvio?|Ilang araw at gabi umulan noong baha?
noah-raven|Genesis 8:7|Raven;Dove;Eagle;Sparrow|Which bird did Noah send out before sending a dove?|പ്രാവിനെ അയയ്ക്കുന്നതിനുമുമ്പ് നോഹ ഏതു പക്ഷിയെ അയച്ചു?|Welchen Vogel sandte Noah vor der Taube aus?|Quel oiseau Noé a-t-il envoyé avant la colombe ?|Quale uccello mandò Noè prima della colomba?|¿Qué ave envió Noé antes de la paloma?|Anong ibon ang pinakawalan ni Noe bago ang kalapati?
noah-dove|Genesis 8:11|Olive leaf;Fig leaf;Palm branch;Grape vine|What did the dove bring back to Noah in its beak?|പ്രാവ് കൊക്കിൽ എന്താണ് നോഹയുടെ അടുക്കൽ കൊണ്ടുവന്നത്?|Was brachte die Taube Noah in ihrem Schnabel zurück?|Qu’a rapporté la colombe à Noé dans son bec ?|Che cosa riportò la colomba a Noè nel becco?|¿Qué trajo la paloma a Noé en el pico?|Ano ang dala ng kalapati sa tuka nang bumalik kay Noe?
abraham-father|Genesis 11:31|Terah;Lamech;Jacob;Isaac|Who was Abram's father?|അബ്രാമിന്റെ പിതാവ് ആര്?|Wer war Abrams Vater?|Qui était le père d’Abram ?|Chi era il padre di Abramo?|¿Quién fue el padre de Abram?|Sino ang ama ni Abram?
sarai-name|Genesis 17:15|Sarah;Rebekah;Rachel;Leah|What new name did God give Sarai?|ദൈവം സാറായിക്ക് നൽകിയ പുതിയ പേര് എന്ത്?|Welchen neuen Namen gab Gott Sarai?|Quel nouveau nom Dieu a-t-il donné à Saraï ?|Quale nuovo nome diede Dio a Sarai?|¿Qué nuevo nombre dio Dios a Sarai?|Anong bagong pangalan ang ibinigay ng Diyos kay Sarai?
isaac-wife|Genesis 24:67|Rebekah;Sarah;Rachel;Leah|Who became Isaac's wife?|യിസ്ഹാക്കിന്റെ ഭാര്യയായത് ആര്?|Wer wurde Isaaks Frau?|Qui est devenue la femme d’Isaac ?|Chi divenne la moglie di Isacco?|¿Quién fue la esposa de Isaac?|Sino ang naging asawa ni Isaac?
jacob-twin|Genesis 25:25-26|Esau;Joseph;Benjamin;Aaron|Who was Jacob's twin brother?|യാക്കോബിന്റെ ഇരട്ടസഹോദരൻ ആര്?|Wer war Jakobs Zwillingsbruder?|Qui était le frère jumeau de Jacob ?|Chi era il fratello gemello di Giacobbe?|¿Quién fue el hermano gemelo de Jacob?|Sino ang kambal na kapatid ni Jacob?
esau-hunter|Genesis 25:27|Esau;Jacob;Isaac;Joseph|Which son of Isaac became a skilled hunter?|യിസ്ഹാക്കിന്റെ ഏതു മകൻ സമർത്ഥനായ വേട്ടക്കാരനായി?|Welcher Sohn Isaaks wurde ein geschickter Jäger?|Quel fils d’Isaac est devenu un habile chasseur ?|Quale figlio di Isacco divenne un abile cacciatore?|¿Qué hijo de Isaac llegó a ser un hábil cazador?|Sinong anak ni Isaac ang naging mahusay na mangangaso?
jacob-dream|Genesis 28:12|Ladder;Chariot;Boat;Tower|What did Jacob see reaching to heaven in his dream?|യാക്കോബ് സ്വപ്നത്തിൽ സ്വർഗ്ഗത്തോളം എത്തുന്നതായി എന്തു കണ്ടു?|Was sah Jakob in seinem Traum bis zum Himmel reichen?|Qu’a vu Jacob s’élever jusqu’au ciel dans son rêve ?|Che cosa vide Giacobbe arrivare fino al cielo nel suo sogno?|¿Qué vio Jacob que llegaba al cielo en su sueño?|Ano ang nakita ni Jacob na umaabot sa langit sa kanyang panaginip?
jacob-name|Genesis 32:28|Israel;Abraham;Joshua;Samuel|What new name was given to Jacob?|യാക്കോബിന് ലഭിച്ച പുതിയ പേര് എന്ത്?|Welchen neuen Namen erhielt Jakob?|Quel nouveau nom Jacob a-t-il reçu ?|Quale nuovo nome fu dato a Giacobbe?|¿Qué nuevo nombre recibió Jacob?|Anong bagong pangalan ang ibinigay kay Jacob?
rachel-sons|Genesis 35:24|Benjamin;Judah;Reuben;Levi|Besides Joseph, which son of Rachel is named in Genesis 35:24?|ഉല്പത്തി 35:24-ൽ യോസേഫിനൊപ്പം പറയുന്ന റാഹേലിന്റെ മറ്റൊരു മകൻ ആര്?|Welcher Sohn Rahels wird in 1. Mose 35,24 neben Josef genannt?|Quel fils de Rachel est nommé avec Joseph en Genèse 35:24 ?|Quale figlio di Rachele è nominato insieme a Giuseppe in Genesi 35:24?|¿Qué hijo de Raquel se nombra junto a José en Génesis 35:24?|Sinong anak ni Raquel ang binanggit kasama ni Jose sa Genesis 35:24?
joseph-age-young|Genesis 37:2|17;12;20;30|How old was Joseph when he tended the flock with his brothers in Genesis 37:2?|ഉല്പത്തി 37:2-ൽ സഹോദരന്മാരോടൊപ്പം ആടുകളെ മേയിച്ച യോസേഫിന് എത്ര വയസ്സായിരുന്നു?|Wie alt war Josef, als er in 1. Mose 37,2 mit seinen Brüdern die Herde hütete?|Quel âge avait Joseph lorsqu’il gardait le troupeau avec ses frères en Genèse 37:2 ?|Quanti anni aveva Giuseppe quando pascolava il gregge con i fratelli in Genesi 37:2?|¿Cuántos años tenía José cuando pastoreaba con sus hermanos en Génesis 37:2?|Ilang taon si Jose nang magpastol siya kasama ng kanyang mga kapatid sa Genesis 37:2?
joseph-coat-giver|Genesis 37:3|Jacob;Isaac;Esau;Pharaoh|Who gave Joseph his special robe?|യോസേഫിന് വിശേഷപ്പെട്ട അങ്കി നൽകിയതാര്?|Wer gab Josef sein besonderes Gewand?|Qui a donné à Joseph sa tunique particulière ?|Chi diede a Giuseppe la sua veste speciale?|¿Quién dio a José su túnica especial?|Sino ang nagbigay kay Jose ng kanyang natatanging damit?
pharaoh-dream-interpreter|Genesis 41:25|Joseph;Moses;Aaron;Joshua|Who explained Pharaoh's dreams about cows and grain?|പശുക്കളെയും കതിരുകളെയും കുറിച്ചുള്ള ഫറവോന്റെ സ്വപ്നങ്ങൾ വിശദീകരിച്ചതാര്?|Wer erklärte Pharaos Träume von Kühen und Ähren?|Qui a expliqué les rêves du pharaon sur les vaches et les épis ?|Chi spiegò i sogni del faraone sulle mucche e sulle spighe?|¿Quién explicó los sueños del faraón sobre vacas y espigas?|Sino ang nagpaliwanag ng mga panaginip ni Faraon tungkol sa mga baka at uhay?
